Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
O000174,Jon Ossoff,Senate,Democrat,GA,Unknown,2021-01-20,39,1987-02-16,"Master of Science (M.Sc.) in International Political Economy, London School of Economics","Investigative journalist and media executive (CEO of Insight TWI), Congressional national security aide",97986263.04,39682882.19,"Grassroots small-dollar contributors (99% under $200, average $37), Daily Kos","Direct consumer economic relief, federal infrastructure funding, voting accessibility, supply chain security",DW-NOMINATE: -0.47 (Solidly Progressive) • ~94% Party Loyalty,Senate Committee on Appropriations (Subcommittee); Senate Committee on Appropriations; Senate Committee on Rules and Administration; Senate Select Committee on Intelligence,"$1,500,000 - $3,000,000 (Based on production company and real estate assets)",2027-01-20,Active Member
W000790,Raphael Warnock,Senate,Democrat,GA,Unknown,2023-01-03,57,1969-07-23,Ph.D. in Systematic Theology from Union Theological Seminary,Senior Pastor of Ebenezer Baptist Church,Unknown,Unknown,Individual/PAC contributions,"Voting Rights, Healthcare Access and Medicaid Expansion, Economic Justice and Poverty Alleviation",DW-NOMINATE: -0.43 (Solidly Progressive) • ~93% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
B001319,Katie Britt,Senate,Republican,AL,Unknown,2023-01-03,44,1982-02-02,"Juris Doctor (J.D.), University of Alabama School of Law","President and CEO of the Business Council of Alabama, attorney, and congressional chief of staff",Unknown,Unknown,Individual/PAC contributions,"Border security and immigration enforcement, Economic growth and combating inflation, National defense and supporting military families",DW-NOMINATE: +0.59 (Solidly Conservative) • ~97% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Appropriations (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Rules and Administration; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
S001227,Eric Schmitt,Senate,Republican,MO,Unknown,2023-01-03,51,1975-06-20,Juris Doctor (J.D.) from Saint Louis University School of Law,Attorney in private practice,Unknown,Unknown,Individual/PAC contributions,"Border security and immigration enforcement, Economic growth and combating inflation, Limiting federal overreach and protecting constitutional rights",DW-NOMINATE: +0.88 (Solidly Conservative) • ~99% Party Loyalty,"Joint Economic Committee; Senate Committee on Armed Services (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
F000479,John Fetterman,Senate,Democrat,PA,Unknown,2023-01-03,56,1969-08-15,Master of Public Policy (MPP) from Harvard University,"AmeriCorps member, youth program director, and insurance underwriter",Unknown,Unknown,Individual/PAC contributions,"Criminal justice reform and cannabis legalization, Labor rights, raising the minimum wage, and economic populism, Healthcare access and affordability",DW-NOMINATE: -0.18 (Moderate Democrat) • ~85% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Homeland Security and Governmental Affairs",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
R000618,Pete Ricketts,Senate,Republican,NE,Unknown,2024-11-05,61,1964-08-19,"Master of Business Administration (MBA), University of Chicago",Business executive (Chief Operating Officer of TD Ameritrade),Unknown,Unknown,Individual/PAC contributions,"Fiscal conservatism and tax relief, Agriculture and rural economic development, Border security and immigration enforcement",DW-NOMINATE: +0.45 (Solidly Conservative) • ~93% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Environment and Public Works; Senate Committee on Foreign Relations; Senate Committee on the Budget",N/A (No net worth disclosure provided in sources),2030-11-05,Active Member
A000382,Angela Alsobrooks,Senate,Democrat,MD,Unknown,2025-01-03,55,1971-02-23,Juris Doctor (J.D.) from the University of Maryland School of Law,Assistant State's Attorney and practicing attorney,Unknown,Unknown,Individual/PAC contributions,"Reproductive freedom and healthcare access, Economic opportunity and job creation, Gun violence prevention and public safety",DW-NOMINATE: -0.44 (Solidly Progressive) • ~93% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Environment and Public Works; Senate Committee on Health, Education, Labor, and Pensions; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
S001232,Tim Sheehy,Senate,Republican,MT,Unknown,2025-01-03,40,1985-11-18,"Bachelor of Science, United States Naval Academy","U.S. Navy SEAL Officer, Founder and CEO of Bridger Aerospace, and Rancher",Unknown,Unknown,Individual/PAC contributions,"Border Security and Immigration Reform, Economic Growth and Fiscal Responsibility, National Security and Veterans' Support",DW-NOMINATE: +0.64 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
M001242,Bernie Moreno,Senate,Republican,OH,Unknown,2025-01-03,59,1967-02-14,Bachelor of Business Administration (BBA) from the University of Michigan,Car dealership owner and blockchain technology entrepreneur,Unknown,Unknown,Individual/PAC contributions,"Securing the southern border and immigration reform, Reducing inflation and government spending, Achieving American energy independence",DW-NOMINATE: +0.73 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on the Budget; United States Senate Caucus on International Narcotics Control",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
M001243,Dave McCormick,Senate,Republican,PA,Unknown,2025-01-03,60,1965-08-17,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.61 (Solidly Conservative) • ~98% Party Loyalty,"Joint Economic Committee; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Energy and Natural Resources; Senate Committee on Foreign Relations; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
J000312,Jim Justice,Senate,Republican,WV,Unknown,2025-01-14,75,1951-04-27,Master of Business Administration (MBA) from Marshall University,"Coal mining executive, agriculture business owner, and hospitality executive (owner of The Greenbrier resort)",79577.55,577157.51,Individual/PAC contributions,"Energy independence and support for the coal and natural gas industries, Economic development, job creation, and tax reduction, Infrastructure improvement and education funding",DW-NOMINATE: +0.56 (Solidly Conservative) • ~96% Party Loyalty,"Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Energy and Natural Resources; Senate Committee on Small Business and Entrepreneurship; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2031-01-14,Active Member
H001104,Jon Husted,Senate,Republican,OH,Unknown,2025-01-21,58,1967-08-25,"Master of Science in Communication, University of Dayton","Vice President of Economic Development for the Dayton Area Chamber of Commerce, Assistant Athletic Director at the University of Dayton",Unknown,Unknown,"Real estate, technology, state party transfers","Economic development, technological delegation to states, workforce training initiatives",DW-NOMINATE: +0.59 (Solidly Conservative) • ~97% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Appropriations; Senate Committee on Environment and Public Works; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Small Business and Entrepreneurship; Senate Special Committee on Aging","$2,000,000 - $5,000,000 (Based on executive career asset disclosures)",2031-01-21,Active Member
M001244,Ashley Moody,Senate,Republican,FL,Unknown,2025-01-21,51,1975-03-28,Unknown,Public service,Unknown,Unknown,"Friends of Ashley Moody PAC, state party, corporate contributions (Publix, RaceTrac)","Judicial conservatism, public safety, immigration enforcement, anti-human trafficking",DW-NOMINATE: +0.61 (Solidly Conservative) • ~98% Party Loyalty,"Joint Economic Committee; Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Armed Services; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on the Judiciary; Senate Special Committee on Aging","$4,426,804 (As of Jan. 21, 2025 disclosure)",2031-01-21,Active Member
A000383,Alan Armstrong,Senate,Republican,OK,Unknown,2026-03-24,64,1962-07-11,Information not available (there is no record of a U.S. Congress member or Senator named Alan Armstrong from Oklahoma),Information not available,Unknown,Unknown,Non-campaigning appointee (Ineligibility affidavit signed),"Federal permitting reform, energy project fast-tracking, mineral infrastructure development",DW-NOMINATE: +0.65 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Indian Affairs","$15,000,000 - $30,000,000 (Based on Fortune 500 executive compensation and stock portfolios)",2032-03-24,Incumbent (Not running in '26)
G000608,Darline Graham Nordone,Senate,Republican,SC,Unknown,2026-07-14,62,1964-06-12,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.47 (Solidly Conservative) • ~94% Party Loyalty,None assigned,"$500,000 - $1,500,000 (Based on public admin career assets)",2032-07-14,Active Member
